rule_id,family,property,scope,action,abstain_code,trigger_ko,reason_template,label,storage,availability,evidence
A01,A,hasDistributionType,,ABSTAIN,AXIS_UNAVAILABLE,월배당|분배금|배당주기|배당 ETF|인컴|분배율|배당수익률,배당·분배 관련 컬럼이 전량 무효라 분배 유형을 판별할 수 없습니다,has distribution type,none,unavailable,ETF → 분배 유형 개체. **배당 컬럼 전량 무효**라 상품명 'TR' 토큰 추정 외에는 근거가 없다. '월배당 ETF' 질의는 답변 불가다.
A02,A,hasRedemptionType,,ABSTAIN,AXIS_UNAVAILABLE,개방형|폐쇄형|환매|환매수수료|환매기간|중도환매,환매 유형 구분 축이 제공 데이터에 없습니다,has redemption type,none,unavailable,펀드 → 환매 유형 개체. **현재 데이터로 값을 채울 수 없다.** 개방형·폐쇄형 조건검색은 근거 부족으로 답변 불가다.
A03,A,hasIssuanceType,,ABSTAIN,AXIS_UNAVAILABLE,설정 유형|추가형|단위형|모자형|설정 방식,설정 유형 코드의 의미가 확정되지 않아 판별할 수 없습니다,has issuance type,none,unavailable,"펀드 → 설정 유형 개체. **현재 데이터로 값을 채울 수 없다**(fd_set_pcd 코드 의미 미확정, KOFIA 코드표 필요)."
A04,A,hasCollateralType,,ABSTAIN,AXIS_UNAVAILABLE,담보부|무담보|보증채|담보|보증|담보채,담보·보증 분류 축이 채권 마스터에 없습니다,has collateral type,none,unavailable,채권 → 담보 유형 개체. **현재 데이터에 담보·보증 분류축이 없어 대부분의 종목에 값을 넣을 수 없다.** 담보·보증 조건검색은 답변 불가로 처리한다.
A05,A,hasCustodian,,ABSTAIN,AXIS_UNAVAILABLE,수탁회사|수탁은행|신탁업자|수탁,수탁 기관코드는 있으나 코드와 사명을 잇는 매핑표가 없습니다,has custodian,none,unavailable,공모펀드 → 수탁(신탁)회사. 기관코드 18종이며 코드↔사명 매핑표 미확보 상태다.
A06,A,hasIssuerCategory,,ABSTAIN,AXIS_UNAVAILABLE,발행사 업종|발행사 섹터|발행기업 산업|발행사 분류,발행사는 명칭 문자열만 있어 업종을 구분할 수 없습니다,has issuer category,none,unavailable,발행사 → 업종 구분 개체. **현재 데이터로 값을 채울 수 없다**(발행사명 문자열만 존재). 외부 기업 마스터 수집 전까지 인스턴스에 값을 부여하지 않는다.
A07,A,hasUnderlyingScope,,ABSTAIN,AXIS_UNAVAILABLE,기초자산 범위|편입 섹터|기초자산 유형|섹터 구성,기초지수가 95.2% 결측이고 섹터명은 전량 결측입니다,has underlying scope,none,unavailable,"ETF → 기초자산 범위 개체. **현재 데이터로 값을 채울 수 없다**(기초지수 95.2% 결측, 섹터명 전량 결측). 간이투자설명서 수집 이후 부여한다."
A08,A,belongsToIndustry,,ABSTAIN,AXIS_UNAVAILABLE,산업 분류|업종|산업군|섹터 분류,기업의 산업 분류 축이 제공 데이터에 없습니다,belongs to industry,none,unavailable,기업 → 산업 분류. 현재 산업 분류축 데이터가 없다.
A09,A,subsidiaryOf,,REWRITE,,모회사|지배회사|어느 회사의 자회사|모기업,"fp:hasSubsidiary 역방향 탐색으로 우회한다 (관계 29,524행 보유)",subsidiary of,none,unavailable,"자회사 → 모회사. 지배구조 데이터(DART) 미수집으로 인스턴스 없음. 손자회사까지 추적하려면 다단계 탐색으로 처리하며, 전이성(owl:TransitiveProperty)은 지분율 기준이 관계마다 달라 선언하지 않는다."
B10,B,return1Y,etf_gl,GUARD,AXIS_UNAVAILABLE,수익률|성과|상승률|수익률 상위|가장 많이 오른|1년 수익,해외ETF는 수익률 컬럼이 전량 0(미계산)이라 성과를 비교할 수 없습니다,1-year return,rdb,raw,해외ETF는 du_er_1d가 전량 0으로 미계산이라 수익률 축 자체가 없다 — 해외ETF 성과 질의는 답변 불가다.
B11,B,leverageFactor,etf_gl,GUARD,AXIS_UNAVAILABLE,레버리지|2배|3배|배수|곱버스,해외ETF는 레버리지 배수 컬럼이 전량 결측입니다 (인버스 여부는 fp:isInverse로 답변 가능),leverage factor,rdb,raw,해외ETF는 이 컬럼이 전량 결측이라 국내ETF에서만 정형 필터가 가능하다.
B12,B,onSale,etf_gl,GUARD,AXIS_UNAVAILABLE,판매 가능|살 수 있는|매수 가능|판매중,해외ETF는 판매여부가 전 종목 동일값이라 필터로 기능하지 못합니다,on sale,rdb,raw,해외ETF는 전량 1이라 필터로 기능하지 못한다.
B13,B,tradingSuspended,etf_gl,GUARD,AXIS_UNAVAILABLE,거래정지|거래 중지|매매 정지,해외ETF는 거래정지 플래그가 전 종목 동일값입니다,trading suspended,rdb,raw,해외ETF는 전량 0이라 이 축이 없다.
B14,B,hasRiskGrade,etf_gl,GUARD,AXIS_UNAVAILABLE,위험등급|투자위험|위험도|안전한,해외ETF에는 위험등급 컬럼이 없습니다,has risk grade,graph,loaded,해외ETF에는 위험등급 컬럼이 없다.
B15,B,coreProduct,etf_gl,GUARD,AXIS_UNAVAILABLE,핵심상품|추천|대표상품|주력,해외ETF에는 핵심상품 선정 값이 없습니다,core product,rdb,raw,해외ETF는 Y가 0건이라 같은 필터를 적용할 수 없다.
B16,B,expenseRatio,ETN,GUARD,DOMAIN_VIOLATION,총보수|보수|수수료|운용보수,ETN은 총보수 개념이 없는 상품입니다,expense ratio,rdb,raw,ETN에는 총보수 개념이 없어 domain에서 제외한다.
B17,B,hasHolding,ETN,GUARD,DOMAIN_VIOLATION,편입종목|구성종목|담고 있는|들어간 종목|보유종목,ETN은 편입종목 개념이 없는 상품입니다,has holding,graph,loaded,fp:ETN은 편입종목 개념이 없어 domain에서 제외한다.
B18,B,agencyRatings,bond_kr,GUARD,AXIS_UNAVAILABLE,평가사별 등급|어느 평가사|신용평가사|평가기관,평가기관명이 데이터에 없어 어느 기관이 매긴 등급인지 특정할 수 없습니다,credit rating agency ratings,rdb,raw,"평가기관명 자체가 데이터에 없어 (채권, 평가기관, 등급) 3항 관계로 완전 분해하지는 못한다."
