id,type,evaluation_type,answerability,product_category,difficulty,question,required_evidence,expected_behavior,data_status,golden_answer,evidence,external_needed,note_vs_0711
1,단순조회_채권속성,PASS_OR_FAIL,답변가능,채권,하,"최신 상품정보 갱신일 기준으로 에스케이하이닉스224-2의 발행사, 신용등급, 표면금리, 만기일, 매수수익률과 매수가능수량을 알려줘. 답변에는 상품번호, 기준일과 각 값의 근거 컬럼을 함께 제시해줘.",상품번호; 갱신일; 발행사; 원신용등급; 금리·만기·수익률·수량 컬럼,ANSWER,부분산출,"상품번호 KR6000662D25 / 발행사 에스케이하이닉스(주) / 신용등급 AA+(평가일 20260305) / 표면금리 4.266% / 만기일 20280214 / 매수수익률 (값없음) / 매수가능수량 → 주최측이 무효 처리한 컬럼이므로 제시하지 않고, '만기 미도래이므로 구매 가능'(예)으로 답한다. 장내/장외 1행 존재.",bond.pd_no·pd_pbcm·crd_grd·crd_grd_dt·srfc_irt·mat_dt·buy_yield / info_base_dt=20260821,,07-11 21건 → 08-24 17건. buyable_quantity 무효화로 질문의 마지막 항목은 답 대신 사유를 제시해야 함
2,단순조회_채권속성,PASS_OR_FAIL,답변가능,채권,하,"국고채권 02000-3106(21-5)의 발행일, 만기일, 잔존일수, 표면금리와 세후수익률을 알려줘. 상품번호와 데이터 갱신일을 근거로 붙여줘.",상품번호; 발행일; 만기일; 잔존일수; 표면금리; 세후수익률; 갱신일,ANSWER,산출가능,"상품번호 KR103502GB66 / 발행일 20210610 / 만기일 20310610 / 잔존일수 1754일 / 표면금리 2% / 세후수익률 3.9279% / 데이터 갱신일 20260821(info_base_dt=pd_std_info_update). 참고: 발행사 대한민국, 분류 국공채>국고채, 고정금리·이표채, 신용등급 (미평가 — 국채는 평가 대상 아님)",bond.pd_no·isu_dt·mat_dt·remaining_days·srfc_irt·after_tax_yield·info_base_dt / info_base_dt=20260821,,★ 원 문항의 '개인투자용국채 02480-3006'은 08-24 배포본에 없다('개인투자용국채' 종목군 전체가 0건) → 동일 성격 국고채로 교체함. 이 종목은 2행(장내/장외)으로 적재되어 있고 세후수익률은 판매 게시 행에만 존재한다(유효값 ['3.9279']) — 답변 시 어느 행 기준인지 밝혀야 한다. 국채는 신용등급이 결측인 것이 정상이므로 'RatingUnknown'이 아니라 'UnratedByDesign'으로 표기
3,단순조회_채권분류,PASS_OR_FAIL,답변가능,채권,하,"현대해상화재보험7(후)(콜/후)의 채권 종류, 발행사, 신용등급, 만기구분, 듀레이션을 알려줘. 원본 등급값과 온톨로지 분류값을 함께 제시해줘.",상품번호; 발행사; 원등급; 정규화 등급; 채권·만기 분류; 듀레이션,ANSWER,산출가능,상품번호 KR6001451F34 / 채권종류 보험회사채(대분류 회사채) / 발행사 현대해상화재보험(주) / 원등급 AA0 → 온톨로지 등급서열 2 / 이자지급 이표채 / 금리구분 고정금리 / 만기일 20350327 / 만기구분(발행시) LongTerm / 듀레이션 4.3459 / 담보유형 Subordinated(상품명 '(후)' 토큰),bond.pd_no·bd_knd·std_pd_mcls_nm·pd_pbcm·crd_grd·bd_intp_tcd·bd_inrt_tcd·mat_dt·isu_dt·dur / info_base_dt=20260821,,bd_intp_tcd·bd_inrt_tcd 신설로 이자구조를 상품명 파싱 없이 답할 수 있게 됨
4,단순조회_국내ETF속성,PASS_OR_FAIL,답변가능,국내ETF,하,"KODEX 200의 운용사, 기초지수, 현재 AUM, NAV, 종가, 괴리율과 1년 수익률을 알려줘. 상품번호와 각 수치의 기준일을 함께 제시해줘.",상품번호; 운용사; 기초지수; AUM·NAV·종가·괴리율·수익률 기준일,ANSWER,산출가능,상품번호 KR7069500007 / 운용사 Samsung Asset Management Co Ltd / 기초지수 KOSPI 200 CR / AUM 25.47조원 / NAV 110190.81 / 종가 109980 / 괴리율 -0.19% / 1년수익률 158.14%,etf_kr.pd_itm_no·ref_fund_mgmt_co·ref_base_index·pd_net_tamt·du_last_nav·du_clpr·du_diff_rt·du_er_1y / 가격·NAV·괴리율 as_of=20260821 · 지수/운용사 as_of=20260822,,★ 07-11에는 기초지수 95% 결측·괴리율 더미라 두 항목 답변 불가였음. 08-24에 둘 다 실값
5,단순조회_국내ETF분류,PASS_OR_FAIL,답변가능,국내ETF,하,"TIGER 미국S&P500의 투자자산군, 투자지역, 운용전략, 복제방식, 총보수와 1·3·6개월 수익률을 알려줘. 분류 근거와 수치 갱신일을 붙여줘.",상품번호; 자산·지역·전략·복제 분류; 보수·수익률; 갱신일,ANSWER,산출가능,상품번호 KR7360750004 / 자산군 주식 / 투자지역 미국 / 운용전략·복제방식 실물복제 / 총보수 0.006% (출처 LSEG Lipper ter) / 1M -3.93% · 3M -5.23% · 6M 6.46%,etf_kr.wu_inv_ast_type·wu_inv_rgn·cu_strtegy·cu_charge_rt(+LSEG ter)·du_er_1m/3m/6m / 수익률 as_of=20260821 · 분류 as_of=20260824,,⚠️ cu_charge_rt가 결측이라 LSEG ter(0.006%)로 대체했는데 이 값은 실제 총보수 대비 비정상적으로 낮다 — 답변 시 출처(LSEG Lipper)와 함께 제시하고 단정하지 말 것. cu_strtegy가 07-11 코드값에서 한글('실물복제'/'액티브'/'합성복제')로 정리됨. 단 운용전략과 복제방식이 여전히 한 컬럼이라 답변에서 분리 설명 필요
6,단순조회_해외ETF속성,PASS_OR_FAIL,답변가능,해외ETF,하,"VOO의 정식 상품명, 기초지수, 운용사, 총보수, AUM, 현재가와 거래량을 알려줘. ISIN, 가격 기준일, AUM 기준일을 근거로 제시해줘.",티커; ISIN; 기초지수; 운용사; 보수; AUM·가격·거래량 기준일,ANSWER,부분산출,"정식명 Vanguard 500 Index Fund;ETF / ISIN US9229083632 / 기초지수 S&P 500 TR / 운용사 Vanguard Capital Management, LLC / 총보수 0.02% / AUM 997.4십억USD / 종가 703.71 USD / 거래량 10712821",etf_gl.pd_nm·pd_isin_cd·cu_base_index·cu_fund_mgmt_co·cu_charge_rt·du_last_aum·du_clpr·du_vol_1d / 종가 as_of=20260821 · NAV as_of=20260822,,ru_mkt_price(현재가)는 기준일 컬럼이 없어 룩어헤드 위험 → du_clpr(기준일 명시)로 답해야 함. du_base_dt_match_yn='N'(종가일≠NAV일)도 함께 고지
7,단순조회_해외ETF전략,PASS_OR_FAIL,답변가능,해외ETF,하,"BND의 투자자산 유형, 투자지역, 기초지수, 지수 복제방식, 운용전략과 총보수를 알려줘. 상품번호와 전략 원문의 출처 필드를 함께 보여줘.",상품번호; 자산·지역; 기초지수; 복제방식; 전략 원문; 총보수,ANSWER,산출가능,"상품번호 BND.O / 자산유형 Bond / 투자지역 United States of America / 기초지수 Bloomberg US Agg Float Adjusted TR / 복제방식 Optimized / 총보수 0.02% / 운용전략 원문은 cu_strtegy(투자설명서 문장, 평균 309자)에서 인용",etf_gl.wu_inv_ast_type·wu_inv_rgn·cu_base_index·cu_index_repl_mthd·cu_charge_rt·cu_strtegy / as_of=20260822,,cu_strtegy는 코드가 아니라 자유 텍스트 — 분류축으로 쓰지 말고 원문 인용
8,단순조회_공모펀드속성,PASS_OR_FAIL,답변가능,공모펀드,하,"미래에셋코어테크증권자투자신탁(주식) 종류A의 펀드 유형, 순자산, 1·3·6개월 및 1년 수익률, 위험등급과 판매 여부를 알려줘. 종목번호와 기준일을 붙여줘.",종목번호; 펀드 유형; 순자산·기간수익률 기준일; 위험등급; 판매 여부,ANSWER,산출가능,"종목번호 KR5153450780 / 펀드유형 주식형 / 순자산 7,348억원 / 1M 3.32% · 3M -9.64% · 6M 30.39% · 1Y 187.94% / 위험등급 매우 높은 위험(코드 1) / 판매 판매중·당사취급 Y / 클래스 수수료선취-오프라인",fund.itm_no·or_attr_desc·fd_nast_suma·fd_mm1/3/6_ern_r·fd_yr1_ern_r·zrin_fd_ivst_risk_*·sale_yn·thco_sale_yn / as_of=20260821,,동일 모펀드 클래스 10종 존재 — 클래스 지정 없이 답하면 중복 계상
9,단순조회_공모펀드분류,PASS_OR_FAIL,답변가능,공모펀드,중,"삼성 베스트 MMF 법인 제1호의 벤치마크, 통화, 투자지역, 개인·법인 구분, 위험등급과 순자산을 알려줘. 상품 식별번호와 해당 속성의 근거 컬럼을 제시해줘.",상품 식별번호; 벤치마크; 통화; 투자지역; 투자자 구분; 위험등급; 순자산,ANSWER,산출가능,종목번호 KR5014410050(예탁원 KRZ500626190) / 벤치마크 CALL / 통화 KRW / 투자지역 국내 / 개인·법인 법인 / 위험등급 매우 낮은 위험 / 순자산 2.19조원,fund.itm_no·ksd_itm_no·bmrk_nm·curr_cd·fd_ivst_rgn_desc·pers_corp_desc·zrin_fd_ivst_risk_grd_nm·fd_nast_suma / as_of=20260821,,
10,단순조회_펀드클래스비교,PASS_OR_FAIL,답변가능,공모펀드,중,"우리반도체BIG2플러스의 C-P와 C-Pe 클래스가 동일한 모펀드의 클래스인지 확인하고, 클래스별 종목번호·판매 여부·순자산·수익률을 비교해줘. 동일 펀드 판정에 사용한 대표종목번호를 근거로 제시해줘.",클래스별 종목번호; 대표종목번호; 판매 여부; 순자산; 수익률 기준일,ANSWER,산출가능,"동일 모펀드 여부: 예 (대표종목번호 031010005F29). 클래스 2종 — C-P: 종목번호 KR5118430058, 판매 판매중, 순자산 20억원, 1Y 57.61%, 보수 0.740% | C-Pe: 종목번호 KR5118430059, 판매 판매중, 순자산 2,079억원, 1Y 57.9%, 보수 0.540%",fund.rptt_ksd_itm_no(대표종목번호)·itm_no·sale_yn·fd_nast_suma·fd_yr1_ern_r·보수4종 / as_of=20260821,,"대표종목번호 sentinel(KR0000000000·000000000000) 7,073건은 조인 전 반드시 제외"
