property,uri,kind,storage,availability,domain,range,label,source_tables,source_columns,derivation,derivation_note,domain_caveat,comment
agencyRatings,http://mafest.ai/product#agencyRatings,DP,rdb,raw,Bond,http://www.w3.org/2001/XMLSchema#string,credit rating agency ratings|평가사 신용등급(원문),PRBD01N001,PD_EVCO_CRD_GRD,,,"평가기관명 자체가 데이터에 없어 (채권, 평가기관, 등급) 3항 관계로 완전 분해하지는 못한다.","여러 평가사 등급을 콤마로 이어 붙인 원문('AAA, AAA, AAA'). 유효 24,966행 중 22,605행이 다중값이고 **286건은 평가사 간 등급이 불일치**한다. 단일 등급으로 축약하면 정보가 손실되므로 원문을 보존하고, 일치 여부는 fp:ratingAgreement로 별도 표기한다. **평가기관명 자체가 데이터에 없어 (채권, 평가기관, 등급) 3항 관계로 완전 분해하지는 못한다.**"
appliedYield,http://mafest.ai/product#appliedYield,DP,rdb,raw,Bond,http://www.w3.org/2001/XMLSchema#decimal,applied yield|적용수익률,PRBD01N001,APPLIED_YIELD,,,,"평가에 적용된 시장수익률(%). '수익률 몇 % 이상' 질의의 실질 근거다. 0은 미산출(1,289건)이므로 제외한다."
asOf,http://mafest.ai/product#asOf,DP,graph,loaded,n327921788c8b4f9196f55c429df2d4b2b38,http://www.w3.org/2001/XMLSchema#date,as of|기준일,derived:relations,derived:relations.as_of,planned,"generic 관계 유효기간 계층, 미구현",,시점 가변 관계·수치의 기준일. **시점을 모르는 관계는 비워 두고 추정 날짜를 채워 넣지 않는다**(거짓 기준일 방지). etf_theme 관계가 이에 해당한다.
baseAsset,http://mafest.ai/product#baseAsset,DP,rdb,derived-not-deployed,ETF,http://www.w3.org/2001/XMLSchema#string,base asset|기초 자산,derived:etf_kr_enriched,derived:etf_kr_enriched.base_asset,pure,build_etf_enrichment.py ← data/csv 원본만,,기초자산 종류(LSEG 보강). wu_inv_ast_type과 교차검증용으로 함께 제시한다.
baseMarket,http://mafest.ai/product#baseMarket,DP,rdb,derived-not-deployed,ETF,http://www.w3.org/2001/XMLSchema#string,base market|기초 시장,derived:etf_kr_enriched,derived:etf_kr_enriched.base_market,pure,build_etf_enrichment.py ← data/csv 원본만,,"기초자산이 속한 시장(국내·해외 등, LSEG 보강). 국내ETF 기초지수가 95.2% 결측인 상황의 대체 축이다."
belongsToIndustry,http://mafest.ai/product#belongsToIndustry,OP,none,unavailable,Company,Industry,belongs to industry|산업 소속,,,,,,기업 → 산업 분류. 현재 산업 분류축 데이터가 없다.
benchmarkName,http://mafest.ai/product#benchmarkName,DP,rdb,raw,PublicFund,http://www.w3.org/2001/XMLSchema#string,benchmark name|벤치마크명(원문),PRFD01N001,bmrk_nm,,,,"비교지수 원문(391종, 결측 0%). **복합 벤치마크('MSCI ACWI CR 50% + 종합채권01Y 50%')가 다수**라 fp:tracksIndex로 지수 노드에 연결할 때는 구성 지수별로 분해해 다중 연결하고 가중치를 보존한다. 국내ETF cu_base_index와의 교집합은 17종뿐이라 별칭 매핑(skos:altLabel)이 필요하며, 영문명(bmrk_eng_nm)은 1:1 대응이라 별도 속성으로 싣지 않고 별칭으로만 흡수한다."
bondKind,http://mafest.ai/product#bondKind,DP,rdb,raw,Bond,http://www.w3.org/2001/XMLSchema#string,bond kind|채권종류,PRBD01N001,BD_KND,,,,상환구조·발행주체 기준 세분류 39종(일반회사채·할부금융채·유동화회사채·MBS·Conduit회사채 등). 구조화 상품 식별의 유일 축이며 결측 924건이다.
bondMajorClass,http://mafest.ai/product#bondMajorClass,DP,rdb,raw,Bond,http://www.w3.org/2001/XMLSchema#string,bond major class|표준상품 대분류,PRBD01N001,STD_PD_MCLS_NM,,,,"채권 1차 분류 6종(회사채 31,447 / 특수채 8,755 / 국공채 2,137 / 개인투자용국채 49 / 외화채권 6). fp:bondMinorClass의 상위 계층이다."
bondMinorClass,http://mafest.ai/product#bondMinorClass,DP,rdb,raw,Bond,http://www.w3.org/2001/XMLSchema#string,bond minor class|표준상품 소분류,PRBD01N001,STD_PD_SCLS_NM,,,,대분류 하위 2차 분류 16종(일반사채·공사채·특수은행채·국고채 등). 대분류와 계층 관계를 이룬다.
brandName,http://mafest.ai/product#brandName,DP,rdb,derived-not-deployed,Brand,http://www.w3.org/2001/XMLSchema#string,brand name|브랜드명,derived:etf_kr_brand,derived:etf_kr_brand.brand,planned,생산 스크립트 없음,,브랜드 개체의 명칭. pd_abrv_nm 선두 토큰에서 파생한다.
buyYield,http://mafest.ai/product#buyYield,DP,rdb,raw,Bond,http://www.w3.org/2001/XMLSchema#decimal,buy yield|매수수익률,PRBD01N001,BUY_YIELD,,,,판매 대상 채권의 매수 기준 수익률(%). 유효 881행(2.1%)뿐이며 나머지는 참조용 아카이브다. 세후·세금우대·예금환산 계열 6컬럼은 결측 패턴이 동일하고 AVG_ANNUAL_TAX_YIELD는 유효행 전량이 0이라 온톨로지에 싣지 않았다.
buyableQuantity,http://mafest.ai/product#buyableQuantity,DP,rdb,raw,Bond,http://www.w3.org/2001/XMLSchema#decimal,buyable quantity|매수가능수량,PRBD01N001,BUYABLE_QUANTITY,,,,당사 판매 채널의 매수 가능 잔량. **값의 존재 자체가 '판매 채널 취급' 플래그**이며 유효 881건(2.1%)뿐이다. '매수가능수량 0 초과' 조건검색의 직접 축이다.
cikCode,http://mafest.ai/product#cikCode,DP,rdb,raw,n6d8cda17fbb740fcbe8ead3b4f379c40b4,http://www.w3.org/2001/XMLSchema#string,SEC CIK code|SEC CIK 코드,PREF02N001,pd_us_cik,,,,"SEC EDGAR 등록번호. N-PORT 구성종목 취득의 유일 경로다. **고유 374종에 5,633행이 물린 트러스트 단위 코드**(한 CIK에 최대 380개 상품)라 이것만으로 개별 ETF를 특정할 수 없고 Series ID가 추가로 필요하다."
closePriceBaseDate,http://mafest.ai/product#closePriceBaseDate,DP,rdb,raw,n6d8cda17fbb740fcbe8ead3b4f379c40b16,http://www.w3.org/2001/XMLSchema#date,close price base date|종가 기준일,PREF02N001,du_clpr_base_dt,,,,종가 기준일. 86종으로 분산되어 stale 종목이 섞여 있으므로 '현재 가격' 질의에서 이 값을 반드시 함께 제시한다.
coreProduct,http://mafest.ai/product#coreProduct,DP,rdb,raw,ETF,http://www.w3.org/2001/XMLSchema#boolean,core product|핵심상품 선정 여부,PREF01N001,wu_core_yn,,,해외ETF는 Y가 0건이라 같은 필터를 적용할 수 없다.,"당사 선정 핵심 ETF(Y 88건, 전부 ETF). '추천 ETF' 질의의 유일한 내부 근거다. 해외ETF는 Y가 0건이라 같은 필터를 적용할 수 없다."
corpCode,http://mafest.ai/product#corpCode,DP,graph,loaded,Organization,http://www.w3.org/2001/XMLSchema#string,DART corporation code|DART 고유번호,derived:company_master,derived:company_master.corp_code,external,build_company_relations.py ← DART corpcode·KIND,,"금융감독원 DART 기업 고유번호 8자리. 기업 URI의 소재이자 공시 근거 문서로 되짚는 키다. 고유번호를 특정하지 못한 기업(동명이인 5,532종 포함)은 이 속성이 없고 정규화명 기반 URI를 쓴다."
couponRate,http://mafest.ai/product#couponRate,DP,rdb,raw,Bond,http://www.w3.org/2001/XMLSchema#decimal,coupon rate|표면금리,PRBD01N001,SRFC_IRT,,,,액면 대비 연 이표율(%). **0은 결측이 아니라 무이표(할인채)**를 뜻한다.
creditRatingLabel,http://mafest.ai/product#creditRatingLabel,DP,rdb,raw,Bond,http://www.w3.org/2001/XMLSchema#string,credit rating label|신용등급 표기,PRBD01N001|derived:bond_kr_enriched,CRD_GRD|derived:bond_kr_enriched.crd_grd_norm,pure,build_bond_enrichment.py ← data/csv 원본만,,"정규화된 대표 신용등급 문자열(AA0→AA, C0→C). 결측 17,644건(41.6%)은 **fp:ratingStatus로 미평가(국공채·개인투자용국채, 결측률 100%)와 데이터 결손(회사채 45.3%·특수채 13.9%)을 반드시 구분**해 답한다. 서열 비교는 이 문자열이 아니라 fp:hasCreditRating 개체의 fp:ratingRank로 한다."
currencyHedged,http://mafest.ai/product#currencyHedged,DP,rdb,raw,PublicFund,http://www.w3.org/2001/XMLSchema#boolean,currency hedged|환헤지 여부,PRFD01N001,exchdg_yn,,,,"환헤지 적용 여부(Y 44,987 / N 20,870). '환헤지형' 질의의 직결축이다. **결측 31.1%는 국내투자 펀드**이며 이상값 '00080008' 1건은 파싱 붕괴 행이므로 행 단위로 배제한다."
delistingDate,http://mafest.ai/product#delistingDate,DP,rdb,raw,n262162eb5eeb41f2ba948dd5d654e824b19,http://www.w3.org/2001/XMLSchema#date,delisting date|거래종료일,PREF01N001,pd_lste_dt,,,,"상장폐지·만기일. **sentinel '99991231' 1,521건은 '만기 없음/존속'을 뜻하므로 날짜로 파싱하지 않는다.** ETN 만기 구분에 유효하다."
documentPublishedDate,http://mafest.ai/product#documentPublishedDate,DP,vector,pending-collection,Document,http://www.w3.org/2001/XMLSchema#date,document published date|문서 발행일,derived:document,derived:document.published_date,external,문서 수집 미착수,,근거 문서의 발행일. 데이터 기준일(2026-07-11) 이후 문서는 답변 근거로 쓰지 않는다.
documentPublisher,http://mafest.ai/product#documentPublisher,DP,vector,pending-collection,Document,http://www.w3.org/2001/XMLSchema#string,document publisher|발행기관,derived:document,derived:document.publisher,external,문서 수집 미착수,,근거 문서의 발행기관.
documentQuote,http://mafest.ai/product#documentQuote,DP,vector,pending-collection,Document,http://www.w3.org/2001/XMLSchema#string,evidence quote|근거 문장,derived:document,derived:document.quote,external,문서 수집 미착수,,관계·주장을 직접 지지하는 인용 문장.
documentTitle,http://mafest.ai/product#documentTitle,DP,vector,pending-collection,Document,http://www.w3.org/2001/XMLSchema#string,document title|문서명,derived:document,derived:document.title,external,문서 수집 미착수,,근거 문서의 제목. 답변 근거 계약의 필수 항목.
duration,http://mafest.ai/product#duration,DP,rdb,raw,Bond,http://www.w3.org/2001/XMLSchema#decimal,duration|듀레이션,PRBD01N001,DUR,,,,"금리 민감도. **0이 8,268건이며 만기경과와 미계산이 섞여 있으므로 듀레이션 질의 시 0 제외가 필수**다. 익일 계열(NDY_DUR)과 컨벡시티는 중복·고급축이라 온톨로지에 싣지 않았다."
eligibleInvestorType,http://mafest.ai/product#eligibleInvestorType,DP,rdb,raw,PublicFund,http://www.w3.org/2001/XMLSchema#string,eligible investor type|개인·법인 구분,PRFD01N001,pers_corp_desc,,,,"가입 대상 투자자(해당없음 73,054 / 개인 17,643 / 법인 4,856). '개인이 가입 가능한' 질의축이다."
exchangeCode,http://mafest.ai/product#exchangeCode,DP,rdb,raw,n6d8cda17fbb740fcbe8ead3b4f379c40b13,http://www.w3.org/2001/XMLSchema#string,exchange code|상장 거래소 코드,PREF02N001,pd_exg_mkt_cd,,,,"AMX 4,241 / NAS 1,296 / NYS 78. **숫자 코드('102' 22건, '101' 9건) 31건이 알파벳 코드와 혼재**하는 오염이 있어 거래소 필터 시 매핑 또는 제외 처리가 필요하다."
expenseRatio,http://mafest.ai/product#expenseRatio,DP,rdb,raw,n327921788c8b4f9196f55c429df2d4b2b32,http://www.w3.org/2001/XMLSchema#decimal,expense ratio|총보수요율,PREF02N001|derived:etf_kr_enriched,cu_charge_rt|derived:etf_kr_enriched.charge_rt_final,pure,build_etf_enrichment.py ← data/csv 원본만,ETN에는 총보수 개념이 없어 domain에서 제외한다.,"연 총보수(%). 해외ETF는 결측 0%로 온전하다. **국내ETF는 원본 cu_charge_rt가 ETF 기준 81.9% 결측이고 유효 217건 중 150건이 0.0 더미**라 LSEG ter로 보완한 derived:etf_kr_enriched.charge_rt_final을 정본으로 쓰고, 값의 출처는 fp:expenseRatioSource로 함께 제시한다. ETN에는 총보수 개념이 없어 domain에서 제외한다."
expenseRatioSource,http://mafest.ai/product#expenseRatioSource,DP,rdb,derived-not-deployed,ETF,http://www.w3.org/2001/XMLSchema#string,expense ratio source|총보수 출처,derived:etf_kr_enriched,derived:etf_kr_enriched.charge_rt_source,pure,build_etf_enrichment.py ← data/csv 원본만,,총보수 값이 주최측 원본(RDB)인지 외부 보완(LSEG)인지 표시. 답변 evidence에 그대로 인용한다.
fssCode,http://mafest.ai/product#fssCode,DP,rdb,raw,PublicFund,http://www.w3.org/2001/XMLSchema#string,FSS item code|금감원 종목번호,PRFD01N001,fss_itm_no,,,,"금융감독원 코드(DART 펀드공시 조인키). **sentinel '000000000000'이 23,409행(24.5%)이므로 사실상 결측으로 처리**한다."
fundAttributeCode,http://mafest.ai/product#fundAttributeCode,DP,rdb,raw,PublicFund,http://www.w3.org/2001/XMLSchema#string,fund attribute code|펀드별 속성코드,PRFD01N001,derived:fund_pub_dedup.prfd_attr_cds|prfd_attr_cd,,,,원본 복합 PK의 2축(228종). 실체계는 2종 — 영문1+숫자3(210종)과 ISO 3166 3자리 국가코드(17종)다. '해외' 1종은 파싱 붕괴 행의 잔재이므로 체계로 취급하지 않는다. dedup 테이블에서는 prfd_attr_cds로 집약된다.
hasAssetType,http://mafest.ai/product#hasAssetType,OP,graph,loaded,Product,AssetType,has asset type|투자자산군,PREF01N001|PREF02N001|PRFD01N001,or_attr_desc|wu_inv_ast_type,,,,상품 → 자산군 개체. 국내ETF wu_inv_ast_type(한글 8종)·해외ETF wu_inv_ast_type(영문 6종)·공모펀드 or_attr_desc를 통합 개체로 매핑한다.
hasBondIssuerType,http://mafest.ai/product#hasBondIssuerType,OP,graph,loaded,Bond,BondIssuerType,has bond issuer type|발행주체 유형,PRBD01N001,STD_PD_MCLS_NM,,,,채권 → 발행주체 유형 개체. STD_PD_MCLS_NM 6종을 4개 축 개체로 매핑한다(외화채권-회사채·외화채권-금융채는 회사채로 접는다).
